prompt,local_tresh
What event at the Asian Junior Athletics Championships has men and women competing at the same time?,100
Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?,0.3641161605834961
What is the length of the River which has Wild Horse Creek as a tributary ?,0.4442870345354081
Are Manhattan West and Singer Building both projects in New York?,0.4617647302865982
Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?,0.5216105443000794
Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,0.18942150864601134
"Hot Coffee, Mississippi sometimes shares a zipcode with a nearby city with what population at the 2010 census?",100
Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?,0.2235070998907089
"Pearl Lowe and Alison Goldfrapp, is of which nationality?",0.4081018093943596
"What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?",0.4312079131603241
"What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?",0.34369357749819757
When was Fannie Lee Chaney's son born?,0.4192124719619751
"The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?",0.4220868305563927
WNP-3 and WNP-5 were constructed by the agency formed in which year?,0.30954552185535433
"he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?",0.6030338568210601
What city does Bundestag and Reichstag building have in common?,0.33282593799233434
"Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?",0.40228983226418497
"what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?",0.2574708219051361
 Teri W. Odom is a member of a scientific journal first published in 2007 by who?,0.1323052573800087
What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?,0.30961611132621764
"Which American singer-songwriter known as ""the Caruso of Rock"", recorded on the Monument Records label and had hits such as ""Pretty One,"" and ""Uptown""?",0.3534118858337402
"The central character of ""The Adventures of Brer Rabbit"" was later adapted into which 1946 Walt Disney Company motion picture film?",0.2290338752299547
Abraham Weinberg was a suspect in the killing of which Irish-American hitman?,0.44504162156581883
"The 2000–01 NBA season was the Jazz's 27th season in the National Basketball Association, and 22nd season in Salt Lake City, Utah, after the retirement of Jeff Hornacek, the Jazz signed free agents John Starks, and who?",0.3007172058075666
What was population of the city where the Dutch retired footballer Foeke Booy born?,0.16569978683590889
In what year was the company that co-developed and distributed the BlackBerry DTEK60 founded?,0.41266767607927324
Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?,0.25434275002479556
Mackenzie Davis appeared in the 2013 Canadian romantic comedy film directed by whom?,0.326440921497345
The Developing Communities Project's first executive director was which former President?,0.3883519829273224
"Jane's Addiction and Weeping Willows, play which genre of music?",0.3934738380014896
"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?",100
Were both Joseph Roth and Cid Corman authors?,0.3579098345041275
What was the event that Afghanistan competed in for the first time in 2017 officially known as?,0.3014830117106438
Who was the director of the 2001 American romantic comedy film written by Marc Klein in which Lucy Gordon had a small role?,0.29760216334462164
What hamlet and census designated place was the location of the only pay-per-view Bunkhouse Stampede?,0.4825551233053208
La Barredora was a gang that declared war on the leader of the cartel based where?,0.14006264248788358
What year did the chairman of the Jenkins Commission die?,0.3988306840181351
"Who was born first, Odysseas Elytis or Cornel West?",0.30866742540597913
" ""Let Me Out"" is a song released as the fifth single from what band's fifth studio album ""Humanz"" which was recorded in London, Paris, New York City, Chicago, and Jamaica ?",0.4108256802678108
"Superheaven and Oceansize, are bands of which shared genre?",0.46370125061273576
What nationality was a  historical drama film directed by?,100
"Who has more scope of profession, Richard Ford or Robert E. Howard?",0.38991622343063354
The American Aircraft Penetrator was modified from a helicopter produced by what nation's military?,0.30974246840476993
"Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?",0.3083278035640717
"Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and what?",0.32175625076293946
"Which movie was released first, The Hunchback of Notre Dame or Saludos Amigos?",0.3413127279281616
In what country did the repression of citizens by a dictator during the period of 1973 to 1990 occur?,0.11582369850128889
The mother of the vice chair of Hillary Clinton's 2016 campaign for President is the director of what institue?,0.44968331093788144
"Michael Ralph DeVito (born June 10, 1984) is a former American football defensive end, he  the National Football League (NFL), DeVito attended high school at Nauset Regional High School an NEASC accredited high school located in North Eastham, in which state?",0.23831130781173707
"""Apocalypic"" is a song sung by Lizzy Hale from which group? ",0.40309272329807283
Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?,0.25585587443709373
"Who is the former professional tennis player from Italy, Chris Evert or Mara Santangelo?",0.42253584769964214
"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?",0.2275061857998371
"How many German scientists, engineers, and technicians, were recruited in post-Nazi Germany as a result of the clandestine operation where Arthur Rudolph became one of the main developers of the U.S. ?space program",100
Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?,0.2665607456445694
"Which is currently more valuable, Temagami-Lorrain Mine or Meadowbank Gold Mine?",100
The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?,0.29391669309735297
"Which city is the American rock band, that released their album on March 19, 2012, from?",0.11679125368595122
What suburban county on Long Island and the easternmost county in the U.S. state of New York is the location of a village called Lindenhurst?,0.389326619720459
Which Lightweight division mixed martial artist founded the American Combat Association?,0.2938064165174961
Which video game producers worked with an English film director to produce a film about sports?,0.3435930682182312
Who won a Nobel Prize in 1943 and is associated with Max Volmer?,0.3593371041834354
Who was born first Neil LaBute or H. Bruce Humberstone?,0.3684181658744812
Were Eatza Pizza and Your Pie founded in the same state?,0.3769854480087757
Who is younger Mary Ramsey or Lee Ranaldo ?,0.35234723401665685
What type of species is a Boreo-arctic Montane species found in the most northerly of the abstract five major circles of latitude as shown on maps of the Earth?,0.2571109176516533
"What musical genre was the song that, according to Annet Artani, inspired the Britney Spears song ""Everytime""?",0.4170358398199081
British band The Wanted's third album includes a song with a title about which Barbadian superstar?,100
"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",0.4197654481649399
How many test centuries did the grandfather of Fabian Cowdrey make for England ?,0.4865279253065586
Which of the following is best known for publicly championing a terminal patient's right to die via physician-assisted suicide: Christy Canyon or Jack Kevorkian?,0.47678578245639797
How long was the rule of the dynasty that was active when the Rosetta Stone was inscribed?,0.23118559383153914
Sojourners and KO Magazine share what publication format?,0.4562117344141006
"At which stadium does the team, for which Baltimore's Marching Ravens is the official marching band, play its home games?",0.43019348640441896
"The John Messer Barn is a historic structure within the Great Smoky Mountains National Park in Sevier County, Tennessee, this barn is a different Messer Barn in which valley, in the Great Smoky Mountains of North Carolina, located in the Southeastern United States?",0.494442177772522
What nationality is the actress who played the role of Sam Sloan's wife Trudy in the sitcom The Single Guy ?,100
"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",100
"Which airport is closer to Cleaveland, Ohio, Luis Muñoz Marín International Airport or Rickenbacker International Airport?",0.3796075837492943
What all female high school is located in a town in Sunyani West District  in the Brong-Ahafo Region of Ghana?,0.25403980080485344
"Jinchang and Liling, are located in which country?",0.35469488813281064
What type of vegetation does Fothergilla and Clerodendrum have in common?,0.3605616678237915
What are the plants in the same genus as the Dendranthema boreale sometimes called?,0.3530108485221863
Who is the composer Howard Ashman worked with on his musical released in 1982? ,100
What actor portrayed a character in a television series about a fictional race of superhumans appearing in American comic books published by Marvel Comics?,0.20168081698417664
What comic book published the female superhero created by J. H. Williams III?,0.3661866640627384
What country of origin does Nick Kroll and Get Him to the Greek have in common?,0.33290543575286863
Thomas Harris is a novelist who is famous for creating which character?,0.32126359713077546
"Who founded the college attended by Thomas Balston, member of the Whatman paper-making family?",0.1299022340655327
"Which director is American, Mark L. Lester or Ken Loach?",0.44550885130167006
Kerrygold Irish Cream Liqueur is owned by a company that mainly sells what type or product?,0.3615456323623657
The USS LST-510 is a ferry between New London and Orient but what is the population of Orient?,100
Titus is the soundtrack to the film that starred which actors?,0.44693802151679995
"The producer of The Wreckage of Stars also produced albums for Texas in July, Everclear, and what other American metalcore band from Lancaster, Pennsylvania?",0.32053878557682036
"What magazine an American monthly food and lifestyle magazine founded in 1987, Cooking Light or Hot Rod?",0.472248064494133
"Which tennis player has received a higher World singles ranking, Xavier Malisse or Virginia Wade?",0.35522552514076233
"Atoms for Peace are an English-American experimental rock supergroup comprising Radiohead singer Thom Yorke, is an English musician and composer, best known as the singer and principal songwriter of which band?",0.4280117793083191
What is the nationality of the singer-songwriter who wrote the poetry collection Early Work ?,0.21264536504745485
Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,0.44747070902585984
Where did the father of Maria Brontë spend most of his adult life?,0.3678558595180511
What is the name of the architect who designed the Lincoln Memorial dedicated in 1922?,0.39178756194114683
Who was born first George Marshall or Allan Dwan ?,100
"The 2005 documentary ""The Aristocrats"" was dedicated to a comedian that received how many Emmy Awards?",0.2698629878640175
The Nike Mercurial Vapor is a football shoe worn by which Colombian striker?,0.19730776584148405
West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road? ,0.25125589415431027
"Who completed more books in their lifetime, Anne Frank or John Kennedy Toole?",0.3457893477022648
"What side of town is the Chicago Mayer-endorsed, 38th Ward of the City of Chicago alderman serving?",0.28866491013765333
What American professional basketball player born in 1986 was awarded the Dave Gavitt Trophy during the 2007 Big East Men's Basketball Championship? ,0.3852191780805587
Where is the company that built Woodvale Historic District located?,0.2507301837980747
"The Time: Night, is a novella by which Russian writer, novelist and playwright?",0.26543489745259286
From what country are both Maurice Newman and Macquarie University? ,0.2872740097105503
Were Up and The Watercolor released in the same year?,100
Which mentor in the 3rd Sa Re Ga Ma Pa Challenge died in Kokilaben hospital?,0.2932829391956329
"What city is located in Gauteng, South Africa with a suburb called Kew?",0.4600140987038613
"What electronic band's  song ""Dangerous"" was certified gold by the RIAA in May 2015?",0.0760291273444891
Are David Gordon Green and Larry Hagman both actors?,0.41740990138053896
For which North American auto racing series launched by the Sports Car Club of America does Jack Baldwin drive a Porsche Cayman S?,0.3184032379150391
Are Calochone and Adlumia both plants?,0.4529714019596577
What year was the English actor and film producer born in who also starred in an adaptation with Renee Zellweger?,0.31444094367027287
"Who's the Hungarian-born US film director renowned for adapting Stephen King novellas to the screen, including The Mist and The Green Mile?",0.39934649637937547
Are Grasshopper and Sake bomb both types of drinks?,0.396332516169548
"Donington School F.C. was an English football club, based in which large village and civil parish in the South Holland district of Lincolnshire, England?",0.37415028913021087
Who achieved fame starring alongside John Richard Schneider in a television series?,0.3910401589751244
"Who was born first, Joe Manganiello or Kirk Kerkorian?",0.2862451107501984
Lee Il-hyung's first feature film was released by which company ?,0.35378650846481324
"Rick Seibold has worked with what artist known for her role in ""Big Time Rush""?",0.26669993209540843
"Where is the band that wrote ""The Drug in Me Is You"" based in?",0.3513346016407013
Who wrote and directed the film in which Adam Beach played Slipknot?,0.1568332679629326
"Alamgir joined Meesha Shafi, Strings, Ali Azmat and Shahzad Hasan as a judge on which popular show?",0.2422803466439247
What network is the reality TV Show that features American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?,0.4231336067616939
Emprise Bank has branches in a city situated along what river?,0.2271270868778229
Who represents the district that Gawthorpe is in?,0.4469385279893875
"George Palmer Putnam, was an American publisher, author and explorer, known for his marriage to who, which American aviation pioneer and author, and was the first female aviator to fly solo across the Atlantic Ocean?",0.299085831284523
The President of Egypt that changed the Hamayouni Decree was born in what year?,0.27600901315212245
Is Lysichiton and Ageratum geus in the same family?,0.31000054013729095
"Huddersfield Giants R.L.F.C. are an English professional rugby league club from Huddersfield, West Yorkshire, the birthplace of rugby league, who play in the Super League competition, they play their home games at the Kirklees Stadium which is shared with Huddersfield Town F.C., is a multi-use sports stadium in Huddersfield in West Yorkshire, in which country?",0.5170168691277504
"Javier Mora, is a Mexican boxer in the Heavyweight division, he was defeated by Alexander Vladimirovich ""Sasha"" Povetkin, by a 5-round TKO, in which country?",0.23837628477215766
"Dixit Dominus is a psalm setting by who, which was a German, later British, baroque composer who spent the bulk of his career in London, becoming well known for his operas, oratorios, anthems, and organ concertos?",0.34003765220642085
Who is the Russian figure skater who danced with a Russian pair skater and in 1988 and 1994.,0.45529184963703156
It Takes a Family is a response to this 1996 book that was published by who,0.41305842309594154
Which show connects Arthur Darvill and Matt Smith?,0.25223992660045624
"The Acolytes Protection Agency consisted of what wrestler born November 29, 1966",0.14403343885838985
"What host of The Voice UK was in ""Doctor Who""?",0.42405938714742664
What era was the man associated with Fanny Talbot the leading art critic of?,0.3182637884616851
"Which guest who appeared in the album ""Animal Ambition"" was born with the name Albert Johnson? ",0.18275597966313362
In what city was the rock band formed which was paid tribute by Listen Without Distraction? ,0.22393084065318108
What is found in Prochlorococcus and essential for photosynthesis?,0.4467044467449188
"In which theatre in Los Angeles did the late-night talk show host of ""Chelsea Lately"" host the 2010 MTV Video Music Awards?",0.2302165070414543
"Brian Keith ""Herbie"" Flowers, is an English musician specialising in electric bass, double bass and tuba, he has contributed to the recording Give My Regards to Broad Street is the fifth studio album by who, as well as the soundtrack album to his 1984 film of the same name?",0.25354079134762286
What is the meaning of Trevor Prangley's other division the fought in aside from Light Weight?,0.4803430190563202
Which event was a surprise military strike by the Imperial Japanese Navy Air Service while Magruder Hill Tuttle was a senior officer in the United States Navy?,100
"Simone Kirby is an Irish actress, her credits include as Tracey Moynihan in which Irish dramatic television series broadcast, on RTÉ Television, the show aired between 2010 and 2014?",0.277451863861084
Who did the professional tennis player currently ranked World No. 1 in men's singles defeat in the 2017 Barcelona Open Banco Sabadell - Singles?,100
"The band that released the album ""Let's Cheers to This"" is from what Florida city?",0.13592125474512576
Which breed of dog is now extinct: Chinese Crested Dog or the Chien-gris?,0.4254140392541886
Which African-American composer co-wrote Air?,0.3561238247871399
"Anil V. Kumar,  is a television and film director and producer in India, his production house, Flying Turtle Films co-produced the movie ""Zanjeer"" starring Priyanka Chopra and which actor, and entrepreneur, who works in Telugu cinema?",0.3756896004676819
Which was available first the No Card or the Octopus card?,0.22796296591758727
What is the phrase that is commonly used on the day which is observed on 25 April each year?,0.3753460354208946
"Which band's song was used as the theme at the Pepsi Arena on January 8, 2006?",0.1875557554602623
The Colts' first ever draft pick was a halfback who won the Heisman Trophy in what year?,0.306949605345726
The Grand Lodge of the Republic of Liberia is based on a branch of North American Freemasonry founded on what date?,0.5185596755683421
Mary Small served the county whose seat is what town?,0.19966151045560834
What 1998 film with Arthur Nascarella was directed by Tony Scott?,0.20389750710725785
Which Byron Edmund Walker founded institution was originally controlled by the Church of England?,100
The weapon BFG is found in which game developed by id Software ?,0.46683401699066157
Which court case concerned the president of the Foundation of Moral Law and a stone monument of the Ten Commandments?,0.2745243953347206
The 2016 Liberty Bowl was sponsored by a company based in what city?,0.26050415275096894
in the 2003-04 Wolfsburg signed a starlet from River Plate who plays in what position ?,0.33721142320632935
"American actor, Peter Hansen, best known for his role on General Hospital, also starred in The War of the Roses with American film and stage actress and director who has won how many Golden Globe Awards?",100
Arthur Noss won a Military Cross as the gunner of a soldier born in which year ?,100
"Who produced the movie that ""Puss in Boots: The Three Diablos"" is the sequel of?",0.45754863713979715
On which former estate was the venue of Aloha from Hawaii Via Satellite located?,0.16256189651489258
Where is the record company based that was co founded by the frontman of Minor Threat and Fugazi?,0.4079266862869263
"Kiawah Island, South Carolina was mentioned in ""Porgy and Bess,"" composed by the man best known for which other 1924 orchestral composition?",0.41153797073364257
"Richard Yates published a work by the name of ""Eleven Kinds of Loneliness"", one of Italo Calvino's best known works was of the same genre and named what?",0.39003474998474125
Who directed a 2016 musical filmed in Howth?,0.2635549495637417
Son of Paleface starred the comedian and vaudevilian of what nationality?,0.2682862097918987
What television series did the actor that Penny Layden performed with in The Libertine star in and subsequently became a teen idol?,0.42877754832506176
What network did the show on which Kim Roberts played Neeva air on?,0.20325477015972138
"""Touch"" is a song from an album released under which labels ?",0.241934482973814
When was the stadium Wollongong Wolves Football Club plays at opened?,100
"Irma Pamela Hall, an American actress who has appeared in numerous films and television shows since the 1970s, and is best known for playing matriarchal figures including in which 2004 American black comedy thriller film directed by Joel and Ethan Coen?",0.32594375447630886
Alan Furst and Lee Child are what?,0.3646426205396652
"Tenth Avenue Freeze-Out  is the second song on which of Bruce Springsteen's breakthrough album, that is the third studio album by American singer-songwriter Bruce Springstee?",0.4440880157232284
In what city did Duane Swank get his PhD?,0.12049657706022264
Which publication is published more often: Modern Drummer or Bookmarks?,100
Mindless Self Indulgence and Tappi Tíkarrass are both what?,0.3553829906702042
"Terenzo is a city in the Province of Parma, which region of Italy is Terenzo located in?",0.5241479726791382
When was the  Prime Minister of India after which V. K. Krishna Menon was regarded as the second most powerful man in India born?  ,0.22571662888526917
The Colombian airline that has been the national airline and flag carrier of Colombia since 1919 is wholly owned by a company headquartered in what country?,0.3655162136077881
What is the approximate population of the country that Koularo lies in?,100
"What actor in Holding the Fort is also known for being a television presenter for shows ""Game for a Laugh"", ""You Bet!"" and ""Stars in Their Eyes""?",0.3400946661472321
"What other band was featured on the cover page of the Alternative Press magazine for the ""100 Bands You Need to Know in 2010"" alongside The Cab discography and Never Shout Never? ",0.24826085474789142
In what year did the English actor from the film The System die?,0.22565953330993652
One of the football forwards who plays for SC Pinkafeld is from which European country that borders Austria?,0.18353561890125275
"What is the birthdate of this Count of Luxembourg and King of Bohemia, who was father of Psalter of Bonne de Luxembourg?",0.3353603790283203
Are both Simon Wincer and Patrice Leconte film directors?,0.39346204543113705
